,0
688,1063
689,263
690,1376
691,2944
692,2198
693,1915
694,1281
695,1538
696,264
697,2777
698,2433
699,2262
700,1361
701,2909
702,1947
703,1105
704,1639
705,331
706,2830
707,2430
708,2549
709,1547
710,1109
711,1415
712,1351
713,3140
714,2699
715,171
716,2183
717,3081
718,860
719,1640
720,3220
721,566
722,2578
723,1526
724,1843
725,2884
726,630
727,1642
728,2653
729,1099
730,1780
731,348
732,1313
733,3090
734,3075
735,2553
736,2537
737,1286
738,2663
739,1883
740,1677
741,1800
742,2250
743,1394
744,903
745,1671
746,2383
747,643
748,82
749,436
750,1739
751,1090
752,368
753,190
754,1579
755,200
756,1638
757,769
758,2235
759,599
760,1782
761,2463
762,210
763,834
764,1209
765,1544
766,941
767,1996
768,333
769,2685
770,80
771,3045
772,50
773,364
774,2481
775,1921
776,2871
777,388
778,2500
779,817
780,3079
781,2724
782,135
783,816
784,2731
785,395
786,1217
787,2544
788,2142
789,178
790,2086
791,850
792,1711
793,244
794,1470
795,760
796,2787
797,2221
798,2921
799,184
800,1276
801,1398
802,1763
803,2061
804,1245
805,1634
806,1159
807,943
808,2254
809,2034
810,1096
811,2473
812,537
813,88
814,1812
815,1064
816,425
817,1144
818,2691
819,124
820,1252
821,2358
822,1388
823,1844
824,2272
825,2507
826,2040
827,1362
828,1892
829,430
830,1335
831,1098
832,2487
833,1366
834,660
835,93
836,1789
837,434
838,752
839,1712
840,1236
841,867
842,1849
843,584
844,2617
845,573
846,2519
847,2847
848,2882
849,3115
850,1869
851,776
852,3013
853,1132
854,2223
855,42
856,1984
857,2431
858,1449
859,1114
860,2710
861,962
862,1585
863,1365
864,3011
865,2523
866,2531
867,2482
868,1743
869,1784
870,1267
871,2869
872,2490
873,1177
874,1668
875,2448
876,1794
877,1095
878,1320
879,159
880,2895
881,1487
882,2147
883,2119
884,1291
885,848
886,2511
887,2192
888,2839
889,1868
890,2079
891,1297
892,1147
893,2793
894,1303
895,2658
896,1061
897,1434
898,2771
899,2141
900,735
901,2347
902,1429
903,2670
904,780
905,1214
906,619
907,275
908,2890
909,1878
910,1681
911,2766
912,1048
913,2426
914,320
915,1731
916,2618
917,2583
918,450
919,2981
920,1055
921,2518
922,1596
923,1459
924,2121
925,2714
926,1644
927,605
928,2172
929,2861
930,2095
931,1117
932,2015
933,84
934,724
935,3207
936,2063
937,1933
938,3000
939,2757
940,47
941,3029
942,1496
943,1603
944,2323
945,495
946,2635
947,565
948,2671
949,1239
950,1383
951,2478
952,2868
953,2353
954,1551
955,2384
956,161
957,1052
958,2761
959,2226
960,2375
961,2404
962,1293
963,1314
964,1600
965,2395
966,1981
967,26
968,1606
969,1786
970,1100
971,2488
972,2227
973,2769
