,0
0,325
1,3014
2,3016
3,3096
4,2648
5,564
6,842
7,1248
8,3210
9,222
10,1653
11,1828
12,698
13,2338
14,1026
15,264
16,851
17,241
18,779
19,806
20,3225
21,322
22,484
23,606
24,310
25,1421
26,3190
27,1600
28,2740
29,1599
30,351
31,1595
32,3209
33,396
34,1831
35,730
36,475
37,1149
38,936
39,76
40,2127
41,265
42,597
43,787
44,2123
45,1558
46,2734
47,274
48,3217
49,13
50,302
51,3227
52,2236
53,3040
54,707
55,780
56,1796
57,718
58,3219
59,500
60,610
61,549
62,102
63,287
64,557
65,820
66,3143
67,3197
68,1848
69,626
70,145
71,2581
72,1571
73,2580
74,740
75,363
76,412
77,566
78,2739
79,266
80,909
81,934
82,1785
83,894
84,2152
85,465
86,380
87,883
88,439
89,3163
90,321
91,318
92,3128
93,1533
94,1701
95,3012
96,2309
97,2900
98,985
99,1904
100,939
101,1527
102,2553
103,34
104,391
105,3160
106,913
107,2944
108,2009
109,1695
110,1148
111,2175
112,828
113,3041
114,1738
115,3158
116,1615
117,1420
118,192
119,3121
120,2259
121,937
122,1492
123,832
124,395
125,3201
126,927
127,2677
128,1434
129,2861
130,2225
131,2952
132,48
133,122
134,750
135,250
136,515
137,39
138,1129
139,131
140,3135
141,2321
142,1676
143,3003
144,2393
145,1607
146,2807
147,1520
148,2087
149,2241
150,638
151,317
152,450
153,1574
154,982
155,1193
156,164
157,2224
158,185
159,1405
160,2826
161,3172
162,359
163,1596
164,1688
165,377
166,461
167,3140
168,721
169,905
170,2396
171,1033
172,1444
173,244
174,2798
175,1188
176,313
177,688
178,648
179,2315
180,957
181,107
182,1597
183,1369
184,1452
185,2363
186,1464
187,2646
188,1765
189,2104
190,1536
191,2029
192,795
193,2376
194,2919
195,364
196,384
197,1747
198,2302
199,786
200,340
201,201
202,151
203,685
204,885
205,994
206,692
207,741
208,386
209,2268
210,805
211,1923
212,1750
213,334
214,2849
215,845
216,811
217,467
218,977
219,2126
220,1212
221,1742
222,1128
223,2913
224,1847
225,1135
226,468
227,1290
228,424
229,753
230,2600
231,1451
232,434
233,2051
234,613
235,917
236,988
237,1616
238,19
239,333
240,915
241,2989
242,528
243,331
244,636
245,6
246,2387
247,433
248,2443
249,2388
250,2611
251,1078
252,309
253,914
254,375
255,3200
256,633
257,323
258,1996
259,497
260,1764
261,1588
262,2991
263,902
264,719
265,93
266,2694
267,197
268,2838
269,751
270,2019
271,3067
272,1674
273,2239
274,154
275,314
276,1789
277,1538
278,1346
279,2299
280,1203
281,1591
282,2972
283,584
284,2142
285,1903
286,567
287,2946
288,979
289,1015
290,1590
291,483
292,654
293,3099
294,3123
295,1743
296,2358
297,1049
298,1745
299,3236
300,3235
301,213
302,360
303,595
304,3171
305,2260
306,1328
307,2048
308,272
309,416
310,2349
311,3066
312,620
313,3071
314,2252
315,2229
316,1667
317,1171
318,426
319,1142
320,88
321,1867
322,2780
323,1959
324,2764
325,2124
326,2159
327,561
328,1905
329,1772
330,691
331,2754
332,1150
333,1669
334,1367
335,687
336,2835
337,768
338,946
339,3113
340,1270
341,343
342,3018
343,582
344,2147
345,2609
346,176
347,2539
348,1754
349,2767
350,1076
351,2509
352,80
353,1689
354,2038
355,1677
356,1371
357,3008
358,1804
359,2831
360,2575
361,2323
362,2571
363,538
364,1195
365,2295
366,459
367,2503
368,799
369,1039
370,2463
371,1062
372,2671
373,2284
374,618
375,1730
376,2567
377,1827
378,3203
379,3207
380,307
381,3068
382,428
383,986
384,2685
385,1013
386,1279
387,110
388,2642
389,1071
390,1038
391,1310
392,1645
393,2842
394,2610
395,2558
396,1018
397,630
398,703
399,290
400,962
401,2827
402,1665
403,3155
404,159
405,2625
406,345
407,592
408,3181
409,1337
410,2458
411,1979
412,3049
413,609
414,1160
415,2750
416,3122
417,2400
418,436
419,2599
420,2410
421,1189
422,210
423,662
424,2401
425,1417
426,2700
427,2171
428,1423
429,1268
430,1774
431,681
432,1682
433,1023
434,2365
435,1412
436,2437
437,1108
438,2028
439,1046
440,788
441,2689
442,737
443,123
444,2735
445,2209
446,1448
447,1834
448,2118
449,1138
450,103
451,1635
452,2731
453,2703
454,1768
455,174
456,2751
457,1225
458,2089
459,1510
460,437
461,405
462,1871
463,1573
464,834
465,418
466,1593
467,906
468,238
469,508
470,1115
471,2022
472,604
473,1107
474,572
475,63
476,278
477,10
478,2823
479,12
480,1528
481,2680
482,2144
483,1082
484,993
485,2781
486,1239
487,833
488,182
489,2480
490,2669
491,655
492,1548
493,3162
494,651
495,523
496,746
497,563
498,807
499,1318
500,3054
501,770
502,1830
503,2512
504,1493
505,1795
506,1935
507,1895
508,319
509,1469
510,2066
511,1074
512,2222
513,1869
514,1200
515,2275
516,1276
517,826
518,406
519,2097
520,742
521,1001
522,749
523,1210
524,800
525,1913
526,556
527,2196
528,1376
529,2379
530,591
531,217
532,1783
533,2132
534,328
535,1259
536,793
537,1767
538,1474
539,1893
540,941
541,1008
542,2385
543,2345
544,2623
545,1714
546,1968
547,1342
548,1446
549,1080
550,818
551,2210
552,2053
553,494
554,2006
555,614
556,2419
557,1042
558,370
559,1829
560,3183
561,872
562,1460
563,1056
564,485
565,1254
566,1835
567,1235
568,1304
569,1741
570,1713
571,253
572,843
573,1439
574,2430
575,1506
576,2011
577,1509
578,2352
579,1278
580,30
581,2748
582,2033
583,1598
584,2465
585,1759
586,3037
587,2405
588,106
589,2967
590,3093
591,998
592,1779
593,1660
594,1950
595,2227
596,1622
597,2456
598,631
599,2993
600,158
601,2612
602,912
603,1825
604,1989
605,1106
606,989
607,1523
608,1104
609,1675
610,2414
611,3127
612,2606
613,18
614,1241
615,667
616,2945
617,1512
618,2090
619,1589
620,200
621,1360
622,1806
623,1388
624,3090
625,870
626,1525
627,3130
628,2658
629,381
630,1132
631,1324
632,2286
633,2964
634,2801
635,1858
636,242
637,2875
638,420
639,1101
640,646
641,3154
642,3148
643,2324
644,1584
645,303
646,3153
