,0
0,730
1,158
2,2197
3,250
4,334
5,842
6,266
7,162
8,2740
9,426
10,3197
11,34
12,2580
13,2126
14,2152
15,661
16,1026
17,753
18,2241
19,1248
20,1017
21,702
22,197
23,226
24,884
25,310
26,383
27,3016
28,1388
29,3210
30,3121
31,2363
32,540
33,787
34,1452
35,721
36,1466
37,13
38,584
39,749
40,620
41,3154
42,277
43,843
44,2259
45,936
46,396
47,799
48,2019
49,219
50,3150
51,1176
52,99
53,2175
54,1405
55,241
56,3185
57,179
58,610
59,2170
60,2838
61,507
62,472
63,643
64,433
65,424
66,3095
67,802
68,263
69,2123
70,915
71,80
72,178
73,3041
74,2201
75,2358
76,642
77,597
78,1451
79,939
80,2873
81,1492
82,1783
83,2159
84,820
85,860
86,733
87,360
88,1826
89,3217
90,2663
91,2503
92,3135
93,1042
94,2033
95,2946
96,48
97,167
98,1637
99,244
100,1028
101,1114
102,2387
103,1206
104,332
105,317
106,2009
107,3164
108,181
109,39
110,1615
111,1502
112,264
113,818
114,613
115,331
116,2252
117,2931
118,1767
119,2127
120,2539
121,1469
122,1240
123,2029
124,2798
125,740
126,1322
127,395
128,113
129,1625
130,261
131,3046
132,2784
133,609
134,1188
135,2199
136,1037
137,1520
138,213
139,500
140,994
141,120
142,633
143,122
144,2028
145,768
146,1149
147,885
148,735
149,1668
150,468
151,2396
152,1536
153,2104
154,450
155,1191
156,2409
157,691
158,1138
159,45
160,909
161,3189
162,557
163,388
164,2344
165,57
166,444
167,1241
168,3171
169,384
170,719
171,1607
172,2376
173,1135
174,1793
175,2952
176,1509
177,934
178,2734
179,1828
180,2225
181,3096
182,416
183,970
184,840
185,2302
186,3102
187,62
188,863
189,2686
190,701
191,2807
192,316
193,3060
194,1212
195,626
196,991
197,63
198,2124
199,713
200,10
201,272
202,1318
203,1616
204,1275
205,19
206,483
207,894
208,1595
209,2861
210,1819
211,431
212,1765
213,687
214,925
215,1128
216,2918
217,1591
218,3128
219,648
220,2414
221,412
222,2966
223,957
224,436
225,12
226,2532
227,858
228,1101
229,2704
230,692
231,1173
232,3209
233,2246
234,207
235,2792
236,757
237,2421
238,1504
239,1597
240,307
241,1527
242,2245
243,2153
244,2827
245,286
246,594
247,1038
248,2584
249,856
250,1491
251,1141
252,508
253,322
254,933
255,1764
256,506
257,2611
258,1198
259,2989
260,599
261,1328
262,1695
263,1589
264,987
265,601
266,2599
267,1650
268,3236
269,2012
270,2900
271,3155
272,667
273,325
274,2219
275,2549
276,1382
277,339
278,1108
279,2
280,2973
281,1979
282,1548
283,230
284,1886
285,2260
286,459
287,845
288,1867
289,2080
290,3066
291,1635
292,27
293,2701
294,3049
295,2975
296,2883
297,979
298,2022
299,2662
300,2111
301,2389
302,1254
303,1733
304,1053
305,1823
306,2076
307,2025
308,2899
309,95
310,729
311,1723
312,2694
313,761
314,1290
315,1621
316,1719
317,2888
318,337
319,1702
320,2017
321,555
322,367
323,675
324,2804
325,1374
326,393
327,3037
328,1364
329,868
330,1846
331,1077
332,2754
333,1598
334,2002
335,3005
336,2958
337,1834
338,183
339,572
340,1785
341,1827
342,127
343,2236
344,195
345,2210
346,2118
347,2323
348,1367
349,1970
350,1082
351,1904
352,404
353,686
354,1220
355,1996
356,567
357,3067
358,736
359,3071
360,297
361,2990
362,566
363,2516
364,2216
365,1807
366,666
367,638
368,1160
369,2038
370,1020
371,1710
372,986
373,521
