,0
0,3197
1,852
2,2033
3,740
4,721
5,1653
6,842
7,2109
8,2740
9,3096
10,965
11,730
12,2259
13,1831
14,800
15,3217
16,884
17,661
18,3225
19,2580
20,802
21,2860
22,266
23,1527
24,74
25,787
26,1796
27,111
28,384
29,2152
30,514
31,2162
32,3209
33,1452
34,957
35,1492
36,265
37,307
38,272
39,934
40,1149
41,2175
42,681
43,1390
44,310
45,3154
46,1023
47,626
48,465
49,1138
50,19
51,2019
52,3060
53,506
54,1031
55,3234
56,459
57,643
58,3016
59,688
60,380
61,2745
62,1420
63,2309
64,840
65,241
66,3227
67,832
68,2958
69,2751
70,915
71,914
72,322
73,2824
74,2009
75,72
76,317
77,388
78,439
79,702
80,2049
81,391
82,1847
83,244
84,1460
85,2091
86,666
87,500
88,958
89,2606
90,62
91,1615
92,1173
93,667
94,1355
95,1388
96,3135
97,2677
98,1206
99,474
100,753
101,1607
102,1135
103,2838
104,1933
105,461
106,1779
107,2754
108,1498
109,577
110,1392
111,481
112,665
113,48
114,450
115,1523
116,703
117,2704
118,3143
119,2721
120,2872
121,2006
122,2798
123,942
124,845
125,80
126,2807
127,1225
128,2338
129,2370
130,1625
131,2503
132,637
133,1188
134,2083
135,853
136,936
137,6
138,395
139,334
140,2952
141,1275
142,620
143,1171
144,2087
145,2636
146,2225
147,1532
148,1999
149,3026
150,2104
151,313
152,1597
153,2436
154,3049
155,2453
156,1765
157,1434
158,2491
159,2632
160,795
161,1750
162,377
163,2854
164,572
165,2911
166,1290
167,2987
168,331
169,1978
170,1191
171,1793
172,2642
173,2784
174,146
175,1904
176,1650
177,1588
178,2835
179,566
180,2027
181,1435
182,2038
183,970
184,1338
185,3035
186,245
187,685
188,2906
189,238
190,3054
191,1848
192,735
193,13
194,1923
195,1605
196,3237
197,2084
198,3171
199,705
200,805
201,185
202,2124
203,95
204,977
205,319
206,113
207,3137
208,1033
209,2089
210,436
211,454
212,1380
213,617
214,698
215,1828
216,718
217,360
218,158
219,1177
220,937
221,1507
222,2611
223,538
224,528
225,2236
226,1616
227,994
228,213
229,1533
230,1382
231,686
232,295
233,822
234,2861
235,2358
236,1739
237,1948
238,1764
239,2570
240,827
241,938
242,2388
243,633
244,452
245,1912
246,727
247,1674
248,2629
249,2775
250,1308
251,1121
252,912
253,1239
254,2028
255,1459
256,1108
257,776
258,1988
259,2219
260,1160
261,1439
262,1328
263,1730
264,2732
265,2530
266,2549
267,2349
268,253
269,654
270,1446
271,960
272,1903
273,1463
274,3235
275,1772
276,1224
